Anonymous_ID,Filename,Relative_Path,Extension,Image_Format,Image_Mode,Channels,Bit_Depth,File_Size_Bytes,File_Size_KB,File_Size_MB,Width,Height,Aspect_Ratio,Total_Pixels,Intensity_Min,Intensity_Max,Intensity_Range_MaxMin,Intensity_Mean,Intensity_Median,Intensity_SD,Intensity_Q1,Intensity_Q3,Intensity_IQR,Intensity_P1,Intensity_P5,Intensity_P95,Intensity_P99,Robust_Range_P95_P5,Robust_Range_P99_P1,Entropy,RMS_Contrast,Laplacian_Variance,Dark_Pixel_Ratio_Percent,Bright_Pixel_Ratio_Percent
P0270,P0270_01.jpg,P0270_01.jpg,.jpg,JPEG,L,1,8-bit,651549,636.278,0.62137,2524,1501,1.681546,3788524,0.0,255.0,255.0,75.92968184971245,38.0,70.66191917744581,16.0,139.0,123.0,0.0,6.0,206.0,234.0,200.0,234.0,7.377228736877441,70.66191917744581,117.1970105759817,16.848725255534873,0.5480498473811964
P0271,P0271_01.jpg,P0271_01.jpg,.jpg,JPEG,L,1,8-bit,546896,534.078,0.52156,1740,2439,0.713407,4243860,0.0,255.0,255.0,45.83399617329507,16.0,61.514693711172505,14.0,38.0,24.0,0.0,5.0,196.0,228.0,191.0,228.0,5.828179359436035,61.514693711172505,75.58095029948873,17.05221190142936,0.3574575975644814
P0271,P0271_02.jpg,P0271_02.jpg,.jpg,JPEG,L,1,8-bit,575194,561.713,0.54855,1760,2439,0.721607,4292640,0.0,255.0,255.0,45.3007843657982,5.0,66.36919680557516,2.0,84.0,82.0,0.0,0.0,184.0,220.0,184.0,220.0,5.682954788208008,66.36919680557516,59.99984511528209,62.86760594878677,0.2129691751462969
P0272,P0272_01.jpg,P0272_01.jpg,.jpg,JPEG,L,1,8-bit,620286,605.748,0.59155,2472,1465,1.687372,3621480,0.0,255.0,255.0,68.31686989849455,31.0,70.54345198574498,10.0,125.0,115.0,0.0,2.0,204.0,234.0,202.0,234.0,6.994670867919922,70.54345198574498,123.38810286903238,39.46519102687299,0.5431757182146526
P0273,P0273_01.jpg,P0273_01.jpg,.jpg,JPEG,L,1,8-bit,802465,783.657,0.76529,2680,1703,1.573693,4564040,0.0,255.0,255.0,90.50581151786575,83.0,73.07578222997444,17.0,159.0,142.0,3.0,9.0,202.0,225.0,193.0,222.0,6.972690582275391,73.07578222997444,113.73442242181915,9.694941323914778,0.04274721518654526
P0274,P0274_01.jpg,P0274_01.jpg,.jpg,JPEG,L,1,8-bit,616357,601.911,0.5878,1912,2439,0.783928,4663368,0.0,255.0,255.0,46.307515083519036,16.0,57.82476863885978,13.0,57.0,44.0,0.0,6.0,175.0,203.0,169.0,203.0,5.962237358093262,57.82476863885978,61.48848187638356,20.926506336193068,0.08386642443830296
P0274,P0274_02.jpg,P0274_02.jpg,.jpg,JPEG,L,1,8-bit,622732,608.137,0.59388,2032,2439,0.833128,4956048,0.0,255.0,255.0,43.657236975913065,14.0,55.57628605753924,11.0,56.0,45.0,0.0,3.0,169.0,200.0,166.0,200.0,6.0280561447143555,55.57628605753924,51.31619887733697,37.07280478316594,0.06991457709852689
P0275,P0275_01.jpg,P0275_01.jpg,.jpg,JPEG,L,1,8-bit,638836,623.863,0.60924,2440,1736,1.40553,4235840,0.0,255.0,255.0,65.20273829984136,26.0,73.91737917413582,9.0,112.0,103.0,0.0,0.0,218.0,252.0,218.0,252.0,6.989223003387451,73.91737917413582,63.27447136509905,38.574474012238426,1.822944209413009
P0276,P0276_01.jpg,P0276_01.jpg,.jpg,JPEG,L,1,8-bit,451763,441.175,0.43083,2104,1291,1.629744,2716264,0.0,255.0,255.0,63.986886399849205,26.0,71.70754254416403,7.0,125.0,118.0,0.0,0.0,200.0,230.0,200.0,230.0,6.804941654205322,71.70754254416403,157.81956574345222,42.4445488361956,0.5192794220296701
P0277,P0277_01.jpg,P0277_01.jpg,.jpg,JPEG,L,1,8-bit,443579,433.183,0.42303,2172,1259,1.725179,2734548,0.0,255.0,255.0,65.32037433608772,26.0,71.8569457074267,6.0,128.0,122.0,0.0,0.0,199.0,229.0,199.0,229.0,6.639453887939453,71.8569457074267,145.6380928311299,41.9793691681404,0.5056045825489258
P0278,P0278_01.jpg,P0278_01.jpg,.jpg,JPEG,L,1,8-bit,518330,506.182,0.49432,2224,1921,1.15773,4272304,0.0,255.0,255.0,45.52451815226632,16.0,57.2771095490991,11.0,58.0,47.0,0.0,3.0,177.0,206.0,174.0,206.0,6.365652084350586,57.2771095490991,52.24635809168999,32.61553953089481,0.09484343810740059
P0278,P0278_02.jpg,P0278_02.jpg,.jpg,JPEG,L,1,8-bit,433842,423.674,0.41374,2032,2439,0.833128,4956048,0.0,255.0,255.0,38.905598371928605,20.0,47.50342487701858,18.0,22.0,4.0,1.0,9.0,167.0,202.0,158.0,201.0,5.143393039703369,47.50342487701858,32.15757568866172,7.9449795482206795,0.09687153958153755
P0278,P0278_03.jpg,P0278_03.jpg,.jpg,JPEG,L,1,8-bit,433472,423.312,0.41339,2032,2439,0.833128,4956048,0.0,255.0,255.0,41.92469544282057,19.0,51.261210250951144,17.0,21.0,4.0,2.0,9.0,169.0,200.0,160.0,198.0,5.185286521911621,51.261210250951144,26.85145335240952,9.270390440124872,0.06652477942102256
P0279,P0279_01.jpg,P0279_01.jpg,.jpg,JPEG,L,1,8-bit,415026,405.299,0.3958,2004,1352,1.482249,2709408,0.0,255.0,255.0,63.345463658481854,29.0,67.34155915568024,8.0,120.0,112.0,0.0,0.0,189.0,226.0,189.0,226.0,6.766728401184082,67.34155915568024,144.83402971530006,44.50883735487604,0.5397858129894059
P0280,P0280_01.jpg,P0280_01.jpg,.jpg,JPEG,L,1,8-bit,392007,382.819,0.37385,2012,1199,1.678065,2412388,0.0,255.0,255.0,68.73658922196596,35.0,70.63091820537578,8.0,131.0,123.0,0.0,1.0,197.0,230.0,196.0,230.0,6.8148884773254395,70.63091820537578,197.67880074026627,42.25530884749883,0.5963800184713238
P0281,P0281_01.jpg,P0281_01.jpg,.jpg,JPEG,L,1,8-bit,786124,767.699,0.74971,2032,2439,0.833128,4956048,0.0,255.0,255.0,48.70706982660378,8.0,66.56224415798371,0.0,84.0,84.0,0.0,0.0,188.0,228.0,188.0,228.0,5.157136917114258,66.56224415798371,600.6291361683368,51.92098623742143,0.43583112996484297
P0281,P0281_02.jpg,P0281_02.jpg,.jpg,JPEG,L,1,8-bit,647685,632.505,0.61768,2032,2439,0.833128,4956048,0.0,255.0,255.0,57.264704659841875,6.0,79.35176744849664,0.0,132.0,132.0,0.0,0.0,211.0,239.0,211.0,239.0,5.318342208862305,79.35176744849664,118.20799982903686,53.70311183426794,0.7731967083450362
P0282,P0282_01.jpg,P0282_01.jpg,.jpg,JPEG,L,1,8-bit,591083,577.229,0.5637,2032,2439,0.833128,4956048,0.0,255.0,255.0,40.61229632965621,0.0,67.33758905196161,0.0,44.0,44.0,0.0,0.0,195.0,226.0,195.0,226.0,4.693991184234619,67.33758905196161,282.61563923101704,60.228754846603586,0.4204357988461774
P0282,P0282_02.jpg,P0282_02.jpg,.jpg,JPEG,L,1,8-bit,524917,512.614,0.5006,2032,2439,0.833128,4956048,0.0,255.0,255.0,45.87773685807724,0.0,78.91835090695753,0.0,61.0,61.0,0.0,0.0,221.0,250.0,221.0,250.0,4.047224998474121,78.91835090695753,133.00343286160435,68.52411437500201,1.6926591510009588
P0283,P0283_01.jpg,P0283_01.jpg,.jpg,JPEG,L,1,8-bit,587988,574.207,0.56075,2032,2439,0.833128,4956048,0.0,255.0,255.0,41.67236374627526,13.0,56.52179413747038,11.0,37.0,26.0,0.0,3.0,171.0,194.0,168.0,194.0,5.784612655639648,56.52179413747038,56.53448680803972,44.812419088757814,0.06307444964213423
P0283,P0283_02.jpg,P0283_02.jpg,.jpg,JPEG,L,1,8-bit,577941,564.396,0.55117,2032,2439,0.833128,4956048,0.0,255.0,255.0,43.228665057319866,12.0,55.518559475803315,11.0,57.0,46.0,0.0,2.0,169.0,195.0,167.0,195.0,5.722214698791504,55.518559475803315,52.42694070961089,54.85588517302495,0.06533431476047044
P0284,P0284_01.jpg,P0284_01.jpg,.jpg,JPEG,L,1,8-bit,635971,621.065,0.60651,2032,2497,0.813777,5073904,0.0,255.0,255.0,43.17384246923079,11.0,59.64414863628433,9.0,52.0,43.0,0.0,1.0,175.0,199.0,174.0,199.0,5.835078239440918,59.64414863628433,78.53409906391457,56.70562549074638,0.05209006713568093
P0284,P0284_02.jpg,P0284_02.jpg,.jpg,JPEG,L,1,8-bit,651138,635.877,0.62097,2032,2439,0.833128,4956048,0.0,255.0,255.0,61.82403883093949,27.0,62.56791355475884,22.0,94.0,72.0,0.0,6.0,192.0,224.0,186.0,224.0,6.569131851196289,62.56791355475884,61.27332507152188,9.52551307009133,0.35540414459262704
P0285,P0285_01.jpg,P0285_01.jpg,.jpg,JPEG,L,1,8-bit,502413,490.638,0.47914,1628,2183,0.745763,3553924,0.0,255.0,255.0,54.96753841669096,10.0,74.21632214822453,7.0,94.0,87.0,0.0,0.0,207.0,225.0,207.0,225.0,6.027470588684082,74.21632214822453,159.37178031913552,61.73941817551529,0.16215878561274805
P0285,P0285_02.jpg,P0285_02.jpg,.jpg,JPEG,L,1,8-bit,449188,438.66,0.42838,1628,2108,0.772296,3431824,0.0,255.0,255.0,67.98167534232525,13.0,75.50098650699846,10.0,144.0,134.0,0.0,1.0,202.0,222.0,201.0,222.0,6.470289707183838,75.50098650699846,61.36064398764327,43.839281967839845,0.1375944687140133
