Width,Height,Count,Percent
2264,1821,1,0.11135857461024498
2268,1215,1,0.11135857461024498
2272,1441,1,0.11135857461024498
2276,2800,1,0.11135857461024498
2280,1576,1,0.11135857461024498
2280,2444,1,0.11135857461024498
2284,1850,1,0.11135857461024498
2288,1508,1,0.11135857461024498
2292,1169,1,0.11135857461024498
2308,1210,1,0.11135857461024498
2312,1184,1,0.11135857461024498
2312,1220,1,0.11135857461024498
2312,1331,1,0.11135857461024498
2312,1753,1,0.11135857461024498
2316,1341,1,0.11135857461024498
2316,1520,1,0.11135857461024498
2316,1871,1,0.11135857461024498
2316,2960,1,0.11135857461024498
2320,1449,1,0.11135857461024498
2324,1405,1,0.11135857461024498
2636,2451,1,0.11135857461024498
2332,918,1,0.11135857461024498
2336,2516,1,0.11135857461024498
2340,1267,1,0.11135857461024498
2344,1248,1,0.11135857461024498
2352,2197,1,0.11135857461024498
2352,2762,1,0.11135857461024498
2364,1195,1,0.11135857461024498
2368,1526,1,0.11135857461024498
2372,1338,1,0.11135857461024498
2372,1707,1,0.11135857461024498
2376,1451,1,0.11135857461024498
2388,1283,1,0.11135857461024498
2400,1046,1,0.11135857461024498
2400,1700,1,0.11135857461024498
2404,1394,1,0.11135857461024498
2408,2850,1,0.11135857461024498
2412,1363,1,0.11135857461024498
2420,1387,1,0.11135857461024498
2420,1544,1,0.11135857461024498
2432,1320,1,0.11135857461024498
2432,1733,1,0.11135857461024498
2436,1249,1,0.11135857461024498
2436,1426,1,0.11135857461024498
2436,1535,1,0.11135857461024498
2440,1111,1,0.11135857461024498
2440,1114,1,0.11135857461024498
2636,2496,1,0.11135857461024498
2440,1295,1,0.11135857461024498
2440,1301,1,0.11135857461024498
2440,1324,1,0.11135857461024498
2440,1327,1,0.11135857461024498
2440,1344,1,0.11135857461024498
2640,1751,1,0.11135857461024498
2440,1365,1,0.11135857461024498
2440,1371,1,0.11135857461024498
2440,1377,1,0.11135857461024498
2440,1385,1,0.11135857461024498
2440,1397,1,0.11135857461024498
2440,1400,1,0.11135857461024498
2440,1406,1,0.11135857461024498
2440,1409,1,0.11135857461024498
2440,1420,1,0.11135857461024498
2440,1421,1,0.11135857461024498
2440,1426,1,0.11135857461024498
2660,2192,1,0.11135857461024498
2440,1438,1,0.11135857461024498
2440,1462,1,0.11135857461024498
2440,1467,1,0.11135857461024498
2440,1473,1,0.11135857461024498
2440,1485,1,0.11135857461024498
2440,1524,1,0.11135857461024498
2440,1526,1,0.11135857461024498
2440,1540,1,0.11135857461024498
2440,1570,1,0.11135857461024498
2676,1256,1,0.11135857461024498
2440,1594,1,0.11135857461024498
2440,1643,1,0.11135857461024498
2680,1701,1,0.11135857461024498
2440,1686,1,0.11135857461024498
2680,1703,1,0.11135857461024498
2440,1771,1,0.11135857461024498
2440,1780,1,0.11135857461024498
2440,1839,1,0.11135857461024498
2440,1862,1,0.11135857461024498
2440,1882,1,0.11135857461024498
2440,1891,1,0.11135857461024498
2440,1935,1,0.11135857461024498
2440,1939,1,0.11135857461024498
2680,2032,1,0.11135857461024498
